ARTIST_ID,ARTIST_MBID,ALBUM_NAME,SONG_RELEASE_YEAR
ARD7U0O1187FB5531A,8153997d-0a0a-4f4a-8aa1-278bb2d7d006,Musette A Tout Va,1962
ARRT66G1187FB3DDF9,d6ae4b23-965f-485a-b2c2-66c43ffaef20,Are You Ready For Freddie,0
ARHB1961187B9B1732,b9783294-cc63-449f-a2ab-6ba667e514ca,Music For Lovers,2004
AR1E4V11187B99F400,e3efd639-6d14-4fff-92b5-9ccc469d9ca6,The Beauty of Simplicity,2003
ARKD9S41187B997CA6,1fa0a810-f41f-43f1-96e9-058a88334556,Static Patterns And Souvenirs,2005
ARLR9U31187B9A71AD,794c6bf2-3241-416f-9b8f-24e2d84a1c4b,The Stooges [Deluxe Edition],1988
ARM5JLS1187FB3615B,26fe36eb-fd75-4799-bf0f-fa502a7bcfe8,Tammy Wynette - Live at the Rodeo!,1970
ARD2NDU1187B99B615,e8374874-4178-4869-b92e-fef6bf30dc04,The Gangs All Here,1999
ARNNBW81187FB55594,b29c45fe-3e06-4736-9053-1cbe93f61691,Growing A Girl EP,0
ARQVTCN11E2835DFFD,f4847b22-6278-4963-aae6-43f6958ec261,36 Grands SuccÃÂÃÂ¨s,2019
ARHI20L1187FB4C997,14a4bc78-1c2d-4ca7-8d1b-9b58076a2a17,PERFORMING THIS WEEK,2004
AR1X2H01187B98CCF2,e0371cd0-a5f8-420e-be17-bd980adc7393,D'Hollywood A La drÃÂÃÂ´le De Guerre,1994
ARV21JS1187B99E516,0b696251-6f12-42e1-9302-926581ea5e08,Phoney Phone Calls 1959-1972,2001
AR82GTS1187FB5662F,dcc0e816-31d2-4501-93c6-b5b64fcda39f,25 Years/25 Songs,2008
ARL3HJZ1187B9A35EB,f4859026-c646-4024-9c08-d9c7f11433fb,Stax-Volt: The Complete Singles 1959-1968,2016
ARD7TVE1187B99BFB1,e77e51a5-4761-45b3-9847-2051f811e366,Casual,2001
ART4QZC1187FB51612,6be2828f-6c0d-4059-99d4-fa18acf1a296,Rhythm Nation,1989
ARIK8T31187B9A4D4F,a4d12e02-1150-4a60-82e9-2692a7cfcda2,The Vegas Years,2008
ARGBGC71187FB3DD0B,4eb42e20-021e-40e3-897c-d0ae81d988fd,Tha Remixes Vol. 2,0
AR6D5OM1187B993D9E,535603f4-cebe-4b96-a374-3cd0691055b9,They Are Coming For Me,1970
ARTZMXB1187B990A55,321b9344-1d61-4fc5-89b3-66572b1d2862,Smooth Jazz: Sax At Midnight,0
ARWNJYQ1187FB56F25,01367a60-bc1b-4b75-b111-1946ae289aa0,Claude FranÃÂÃÂ§ois_ Autrement Dit,2008
AR9XDAA1187B99768F,d48ab7ae-fcba-44d1-844a-c2c598b47829,World Jazz,0
ARODOO01187FB44F4A,60bd8a1c-c093-4849-8f28-08101ca059b1,The Best of The Baltimore Consort,0
AR7LIU31187B98EF11,c7b612cb-384a-45a2-9948-c35edfdbbc4a,The Italian Sessions,2006
ARV1RMI1187FB48F94,d7a18d20-8591-43af-b8e7-362eacc979f8,Lepta,2004
ARN3X4T1187B99EA39,a2cab261-63cc-4ccf-8023-6b6e8588bb62,Wang Ji Ni Wo Zuo Bu Dao,2004
AROSGVP1187B9B011F,530846f0-4098-4d33-bd8a-8611f823bf51,The Clancy Brothers and Tommy Makem In Concert,1961
ARXZIHJ1187B9A4ED9,b84dfb67-c437-4ccc-b512-1073fd4612eb,Happiness Is,1965
AR4K59J1187FB3759B,775d0224-57b0-4fae-a6ad-b2e9446b26df,Time and Space,2004
AR6PJ8R1187FB5AD70,bf24ca37-25f4-4e34-9aec-460b94364cfc,Essential R&B Hit Selection,2008
ARDQO721187FB3C6D9,2ba29f11-6321-451f-934d-3f63b3930ce3,The Best of Rodney O and Joe Cooley,1995
ARNLHY61187FB3A0C0,a6ee239c-c52d-4ddc-91e7-d7bf4917f04e,Tranceplant,2008
ARGFVP41187B99296B,ac602ca1-584d-4e3d-801b-648aa05ba7ae,Seasons,2008
ARBB58Y1187B9B621B,1c701b15-54f5-4de2-8e17-1a9e3b167a6b,When All God's Singers Get Home,1965
AR7QAHN1187FB35F8B,534370ec-59cb-49f5-84a6-d4c7c8ad6daf,EMI Comedy - Groucho Marx,2008
ARVQ4QM1187B98AD95,49b8ba30-1b74-4d11-b298-9f601992b6fc,Penny Opus,2014
ARE2XN81187B98BB83,eab89147-d970-49c4-82a3-eff4440a81e9,Belle Ville,2005
ARZQ7QA1187B9AD08B,070d193a-845c-479f-980e-bef15710653e,The Hits/The B-Sides 3,1993
ARH0NCL1187B99B41A,9f033b2f-3eb1-4f6e-90e2-ddfd694dbde8,CinÃÂÃÂ©Passion,2010
ARB06Z71187B99049A,c736201c-546d-469f-8475-4415db60aad0,Traditional Music Of Ireland,0
ARE17W51187FB5381B,3ab20833-bea6-4972-9e83-14599e3666a1,Amidar,2000
AR9GQKV1187FB52E44,3302b3e9-eaf0-4edc-845c-65272c3e8806,Ryman Gospel Reunion,1994
ARUGU0E1187B9B30F6,9efff43b-3b29-4082-824e-bc82f646f93d,Live In Boston 1970,2007
AR8LC1V1187B999F9B,123001cb-840f-4038-8fe6-b08189c1fa97,2,2007
AR6OPE31187B9B9CB7,039f02d8-f111-45b8-bbed-36084bcd775f,Coleccion Estelar de Sabor Cumbia,0
ARXLOGT1187FB45068,288af6c6-e5b7-4b2b-8f30-d164a05fa6a3,In My Garden,0
AROF4LP1187FB41C51,04b97d63-b900-4e2e-92dc-a4331ddc95a6,Movie Soundtrack,0
ARHOCKY11E2835D7CB,06a63579-f1fc-4c4d-80fd-729ffafe06f5,Maire,1992
AREPD8D1187FB3F5BC,3b141e34-8c02-4074-b68a-7d64e3212acd,This Kind Of Love,2008
ARTP2PK1187B98FECA,23c07df4-b3bb-42e8-8bea-098c0b09fb90,VisÃÂÃÂ£o FuturÃÂÃÂ­stica Do Passado,0
ARIF3EV1187B9B8522,f3c61305-2b53-4d29-991b-1af1556e191a,Ladies' Choice,2014
AR261YW1187FB374B3,a00df488-9c2c-494a-a46c-840cb153302a,Cherry Pie,2004
ARJIQLJ1187B998316,3051925f-d398-4261-af56-0c60d660aa1d,Ooh Wee Pretty Baby!,1999
AR5ZI3K1187FB38BE0,acc1d5bc-e94d-4582-a5d7-fe6e7e6919ad,See Reverse Side For The Title,1966
ARNZNFW122BCFCAB3B,6eca5914-54d5-498d-9359-19c185934af3,Private Room - The X-Mas Lounge Session 2006,2016
ARQ9BO41187FB5CF1F,fbdaf414-feeb-4a64-bebb-1ec477ac3663,Laid-Back Christmas Favourites,2004
ARELVCU1187B98F3E5,032b4d5a-8549-48cf-a0b5-b65c62699f47,Beauty Queen,2005
ARSYOWS1187FB41157,ca3bea8d-1882-4b26-b8bf-db9916d2686d,Collections,2007
ARN7OQ21187FB5A6B3,c60131ae-9e8f-46a8-a7d2-1393fe48a9d1,Lost & Lonely Blues Vol 1,2006
ARQVLQJ1187B98F11F,36be323a-edfd-49a3-ac25-a02ef6a2c351,Marasma General,2001
ARRQWQW1187FB49844,7ec04edc-59ce-4fc4-8c0a-f519f38be4fd,At Your Own Risk,1990
ARY1P2B1187B9B78F5,d4a76953-f4fa-4a49-a0ea-b05eac61f8e8,Babies Go To Sleep,0
ARD0FN11187B9B25CD,1f223eed-aa38-49da-9e76-62ab3adc2e04,Live From Las Vegas,0
ARI4S0E1187B9B06C0,50a45c3d-b54b-4fd5-bb83-5046e4ff6813,20 Years Of Narada Piano,2001
ARALUOY122988FD079,7f11c596-aaef-4cf8-afdf-d58065ed52b3,Poolside : Mykonos,2015
ARNFTGS1187B9A465F,22995eba-1238-4b4f-a937-ac2c5767ab9f,Meet the F@cking Bedwetters,2009
ARXTM8U1187B99F200,8a2e86ca-2153-4ba1-b2c2-2a525c2bd665,PÃÂÃÂ­demelo Todo,0
AR7FN5Y1187B99B248,a111c7e6-bbb7-43bc-a2dd-f0aee3a592c1,Jim Jones Presents M.O.B. (Members Of Byrdgang),2008
ARHK7A51187FB411D8,90dcf7e4-4df5-44cb-a120-3765db263418,A Cowboy's Songbook,0
ARAOJ681187B9AAB76,dd1075fa-41b1-410f-bf7b-38299fe8d1d2,Brahms: Piano Sonata & Variations On a Theme of Haendel_ Op.24,1994
AR21EJD1187FB3B9A9,4c54c8f2-a6f8-42fd-ab29-6cf684d0228c,A Todo Calor,1991
ARMJMBJ1187B98C46F,b324dcad-82fa-4fe2-9a97-26fff814d36e,Viata Noastra Vol 1 / Our Life Vol 1,2006
ARH3S5S1187FB4F76B,9282c8b4-ca0b-4c6b-b7e3-4f7762dfc4d6,In Bloom,1992
ARDI88R1187B98DAB2,fd87374e-ffde-4d36-89a8-8a073f795666,Chyna Doll,1999
AR7TTCH1187FB3F95C,d4cc0ed5-0f76-4188-9e14-2a23ca12188a,New Grass Revival With Leon Russell Live,1970
AR2O3B51187B98CD94,5a5d32e1-f3d2-4fde-8b41-24a78e696b83,Alone In His Presence,1995
ARM9QAE1187B9AF687,d7737ce1-cdde-4597-8ea4-4f78e9578d06,Foretaste,2004
ARZAHDN1187B9B4BED,e5348c4f-6907-4be7-b597-53bedbbc8e60,My Turn,0
ARIYZFT1187FB5393E,a36e4f1f-aaba-427d-bab0-0b9535c8fb7f,Spirit of Brazil live,2000
ARGJBTS1187FB4273A,854ae827-88a3-473c-8b7c-4895fa869be7,The Next Generation,2005
ARNLO5S1187B9B80CC,b665b768-0d83-4363-950c-31ed39317c15,The Best Of Both Worlds,2004
AR9EZGO1187B9A401F,67d74586-59ba-4999-9e56-bdb5bb4b183d,Love Is A Sometimes Thing,2018
AR1X2H01187B98CCF2,e0371cd0-a5f8-420e-be17-bd980adc7393,Maurice Chevalier  The Essential Collection Vol 1,2000
ARF4V431187FB3AA41,5c1262e2-cb86-4dc9-8acf-781ff4523192,Tormented,2001
ARR3ONV1187B9A2F59,fd857293-5ab8-40de-b29e-55a69d4e4d0f,The Resistance,0
AR7TTCH1187FB3F95C,d4cc0ed5-0f76-4188-9e14-2a23ca12188a,Hank Wilson's Back!,1995
ARSVRVA1187B99228A,cdd110d9-11b0-441f-a07b-301ca079cadb,Something Beautiful,2004
AR8Q4RZ1187FB46BDC,f1a3fb4a-fff6-4556-a290-3704b109da90,Bobby Sox Blues - EP,2001
ARDGBFI1269FCD6AA6,1b5001de-400a-406f-be12-160cf503854f,Grease Band & Amazing Grease,1975
AR0KBXO1187B996460,ceb7b6be-1dbb-4d80-b157-5588bc884764,9.0 Live,2017
ARYN80Y1187FB49F36,d31dbfe5-3272-4b2e-bcca-86577b87f6c6,East,2012
ARPC5161187B9AF35C,c446d14f-6abf-47da-927d-e7cbfc0c6373,Gary Davis Style: The Legacy of Reverand Gary Davis,2010
AR49IQD1187FB37EA7,9e839dc3-55f3-4492-ad0e-a1a2e84275e2,40 Dayz & 40 Nightz (Explicit),1998
AR2D0XK1187B98EC4A,3f107c41-0c08-44dc-b2a6-5ad7bc4e8fd6,KPM 1000 Series: Flamboyant Themes (Volume 2),0
AR5995Z1187B9A112B,09a6a08f-53b0-47b5-92ce-8975fa0b7df1,Tell The World About This,1985
ARWIMT21187B9B5AEC,9d2c8965-283a-4abc-bdcd-9b27d7f87a44,Big Joe Is Here,2002
ARRX4FO1187FB58DD6,921db1bb-da37-4d5d-a005-76010e4d1dfc,Easy Does It,1995
ARF3HEO1187B9AF2F4,1cef08dc-0429-4353-9916-9f6f421d61e9,Donnie McClurkin... Again,1996
AR392MV1187FB3C3FE,5fcd7daf-25e1-47fd-9ba1-830b42708f84,Connie Francis In Hollywood,0
AR19QNR1187B9A13C5,f7ebe5e2-c9fb-4959-a9b3-b09921168d50,B.A.R.S. The Barry Adrian Reese Story,2007
ARYR56R1187FB3DEEE,b3620030-fdea-4cf4-b9b0-cb5121451e53,AlbÃÂÃÂ©niz / Granados / Romero / Sor: Guitar Solos,0
ARKN6PC1187B98A4D0,1434bb77-b17e-4f0d-baa6-68afedabfad2,Not Lonesome Anymore,1991
ARQZRQ11187B9A5918,91d924a0-5c42-4c80-8549-9afe8b19fe15,The Color Of Music,0
ARXOTQH1187FB57084,e1009244-1bf4-4a4c-889e-0db83b9be08f,Exclusive,2017
AR93D4D1187FB3ACAD,4b0be624-6b87-47e8-bbf0-588a2c6c0439,The Road To Escondido,2007
AREY1HI1187B98B395,52a00c95-804c-40e7-9224-6cb13559c61e,The Gufs,1996
ARD7U0O1187FB5531A,8153997d-0a0a-4f4a-8aa1-278bb2d7d006,Tango Pour Madameon,1982
ARI4NXX1187FB59DF2,dd72205c-86d3-4b8e-852c-b5f7a0a929ea,The Plan,1995
AR0X3JJ1187FB3A9A7,c8d0d74b-80eb-4746-8cea-f5df78b4b90c,I Always Lose,0
ARMYKRB1187B98CFF0,dfa7df17-e1dd-4ac2-ad3e-e109d404c0f4,Are You With Me?,2002
ARBY23A1187B9A82E4,92d0242d-c47d-4e2b-915d-4f875a07c91f,Chithi Lae ke Kabootar Ja,2019
ARTF2KG1187B98DDD1,e434c190-2f7b-4256-97d1-4e0d8d825acf,Signed Sealed Delivered,0
ARR8AIK1187B9A0BCE,8766468c-9a0f-41e2-8466-601d94d5098e,Live In Switzerland,1987
ARVAWTX1187B9A9990,9457e918-6a04-494e-bd32-8fa49caba28c,Antonis Remos Live,2004
ARMRQF21187FB54D89,aee0642c-1d8b-4a64-9993-443f94242b2e,Djessy,1991
ARWQ2DR1187B98FF28,e1deae56-c8f0-4e73-8264-f4b02dfc051c,Washboard Kings,2012
ARXZIHJ1187B9A4ED9,b84dfb67-c437-4ccc-b512-1073fd4612eb,The Hollywood Collection,0
ARYKFVV1187FB3CA6B,58ac1e03-72cc-456e-8275-35745f56a0e3,60 Jahre Oscar Vol. 1,1990
ARHK7A51187FB411D8,90dcf7e4-4df5-44cb-a120-3765db263418,Country Roots,1995
AREMPZY1187B9B8FF3,c0cc5d77-937d-4296-a349-0a09d733fbfb,MTA2-Baptized In Dirty Water,2003
AR1N6N61187FB4E25E,915f84de-eac2-4e78-99ad-9ab6e2c50af6,Santa Maria,1998
AR5OH1V1187FB574C3,c5f42b91-82b9-466c-891c-a9cc391b50bc,Vivianism,2007
ARS6L1E1187FB585B6,fd09d776-ddfd-4558-afe7-814420d704ed,Stockhausen - MANTRA,0
ARWBAI21187B991E2E,5247e3c6-2989-46cc-800f-c4f6d39e4b1e,Sing Boy Sing,1999
ARQGYP71187FB44566,0b8f67b3-b1d8-4d7a-8317-9d2e7e1cb277,Vintage Collections,1996
ARWGIOC1187FB4CBEF,7d4624c6-5e71-49f9-a3aa-fc9951953cbb,Laughter At Dawn,0
ARG36WO1187B9B3A9A,6c1841b5-211a-4d63-abd1-7de8c38cba88,The Spinning of the World,1993
ARAPI451187B9B6E6F,5d8cd98d-0572-4fe8-8771-84b4eb9bf510,Meditations In The Spirit,0
ARS2FUA1187B9ADABF,89210ca8-1641-4b84-b8f2-2be975d4d0a6,Uganda,1995
ARL7K851187B99ACD2,572d6bb7-58cc-4a96-8e5c-58eae4739190,Tu Me Haces Falta,2007
AR3EABF1187B98AD35,1404fcf2-5c92-434b-8d37-7f9b0c8f986f,Cabaret Days,2002
ARA03M61187B996945,9ee09609-7b0d-4888-8a4d-291f9ab29528,Ruckus Juice & Chittlins_ Vol. 1,1991
ARHNMEZ11F50C4706C,c926a04a-df7f-43b0-8e5b-8976ab4d3e8f,The Best Of Karen Peck And New River,2006
ARZ8KO81187B9B1B7C,2882ffa3-dec9-4055-a842-a950728bcb02,Isn't She Great,0
AR1Y2PT1187FB5B9CE,84f3a2c3-95b4-4d4f-82d9-0e4baf4886ab,Chasing Monsters,0
ARDQ9AP1187B9BA3F6,8295ee00-0096-461d-95c7-c2263d2a4c6d,Killswitch Engage [Special Edition],2009
AR7I3G21187B98B4A2,28d04f45-5fcb-4d13-92fd-6973b88070ba,Apiti_ vol. 3,2002
ARQMYTM1187FB4678C,f0b3af36-a38b-4e5e-bf9a-d25ae11ca741,Josh White Vol. 2 1933-1935,1995
ARLLANI1187FB5116F,be0363b0-35ca-41c7-9770-17f73deb77e7,Gimme A Break,2000
ARZDYBC1187B9A3142,136d5363-4297-4b19-87eb-3748371d4c81,Radioland,0
ARNTTHK1187B98FF64,5dec643a-423f-4051-ac13-87e59525ad74,Andy & Lucas (En Su Salsa),2003
ARRU9GR1187FB43F56,81e02e29-e46a-49cb-bf13-d204cbe86daa,Lost & Found Blues,2003
ARUGX5X1187FB468C4,eb28e896-59b8-41df-b3c2-148e68ce03eb,Quiet Time,1996
AR3AY3R1187FB52CF0,1edead6d-6c01-4ad4-9cce-c334bf7edf23,Love Lessons,1985
ARA7WV51187FB532B0,0c624637-4a2c-4df0-ba80-b4ddb25bb5e5,Suicide Sessions / Anti-Social Personality Disorder: Live,1993
ARYN8YT1187FB38396,a1658d98-c4dc-40b9-8bbd-9793f44e64dd,DiscografÃÂÃÂ­a Completa Volumen 14,0
ARRXPRY1187B9A8B34,a1be513e-35e5-47b0-8b73-7476378384aa,... De Punto Alfa,2004
ARRXG5Y1187B9AA016,3a212655-d7d5-4570-9d31-4b7b1ef02629,T.O.S. (Terminate On Sight),2008
ARQCFI11187FB5AE43,e9b54b79-fff7-44f7-bab1-93b35df75ac3,Wine Colored Roses,1986
AR6RG8J1187B9A815C,a6411c07-f110-43c5-abfc-863bec3a4683,Audio & Murder,2007
ARSWXNX1187FB3D04E,d30615cd-2e8f-4169-a879-fffa8b17f362,Tarefero de mis pagos,2004
AR6KK741187B98C9E9,d3e79557-c278-40b6-89e6-ab8dc830b392,Good Rockin' Tonight - Live In San Francisco,2010
ARXGICZ1187FB444DD,625689fe-ee9c-44bc-87ee-e42ad7b97e7c,Classic Years of The Merry Macs,1968
ARPGPI81187B98AEEA,ad7823b3-0c03-462d-8061-8b05d86f2633,Turbocharger,1999
ARNYDR91187FB542BF,95fe32b4-fcdf-4d2a-a431-09fbded2834b,Michael White,0
ARODBRG1187FB3FD99,172e1f1a-504d-4488-b053-6344ba63e6d0,Kicking Against The Pricks (2009 Digital Remaster),0
ARDNMNC11F4C842FDE,b4fb15cb-207e-46ba-9fec-6804ca9b710b,Drizzly House Sessions Vol.2,2006
ARBUHDB1187FB3E72C,97ebb1b4-1d9c-4303-bb60-074c993e2d53,Just Today,2013
ARUKJUP12086C14589,8a5f2736-bcde-4a2e-8d50-72631d66a7ef,Verdi Arias,2001
ARCLCFS1187B9AE476,c23280a8-abc8-4435-ab44-43762ce0c89c,Music Of The Brazilian Masters,1990
AR5M35O1187B9A0D74,f7ef4d71-9f9e-4b53-9f3a-0fa557167c94,Sol,2016
ARSCJQW1187B9B3523,334cff4b-7a07-47d4-ba27-b5426e58c719,Time-the Destroyer,2001
ARON0YP1187FB4B465,11238cd8-2dc5-4de4-b4ec-5e6be5fef8c8,Fiona's Moment,2004
ARF3PG41187FB4B0B4,387ed135-0389-4dbb-88cf-52ba1d780a4d,The Lord Is A Wonder,1978
ARPZIIA1187FB4CB9F,4cce452e-24a6-4366-9808-44ecc65919ff,Live at the Blue Note,2002
AR039B11187B9B30D0,fb9719bf-c477-4223-b319-986eb4168a91,John Williams Plays the Movies,1996
AR49IWV1187FB3C663,9bad4167-0612-4d29-827c-15f379cb4237,DÃÂÃÂ©dÃÂÃÂ© Saint-Prix & Pakatak rendent hommage ÃÂÃÂ  Paulo Rosine (1982),2001
AR7SVRP1187FB55875,5ccd3ed0-9a0e-412e-93b4-9ad5dd151547,The Original Ballroom Dancing Album,2018
ARXB7B21187B98BEF0,bf319713-88a0-4a06-ab6f-2ead83e923bb,Borron Y Cuenta Nueva,0
ARIRD6J1187FB5A98C,01d336ae-7f79-496d-94f9-211b57517b17,Niney Presents: No Hiding Place!,2006
ARS8DXZ1187B998AA3,cf7afdb9-ee6c-4478-af32-828ce76e1286,Bravehearted (Clean),2003
ARE8GLF1187FB52532,8bfac288-ccc5-448d-9573-c33ea2aa5c30,Stadium Arcadium,0
ARFXRHR1187B98FF09,cd0ff7b0-19a3-4b3a-b564-252acfd75523,Twist It Babe (1931-1940),0
ARTHWIZ1187FB4258D,7fb61f7b-2ad3-4d5b-96fd-5c5327456abb,Frank Ifield Sings Country & Classics,0
ARGKD4W1187B990E04,6ca4886a-8f77-4133-b404-46fb3908e24a,The Very Best Of Brenda Lee Vol.2,0
ARTHEAP122BCFCD0B2,e40f8007-07cd-439f-b3cf-27104f146420,The X-Factor (Side B),1997
ARK6JC91187B9B4B2D,c708164c-edc4-4128-b7b7-83256ba830fe,A World Of Difference,1992
AR7V3VQ1187B9A08AA,be20bc8d-fe9e-4572-a053-64ffb6bf8cb8,Shattered Dreams and Bourgeois Schemes,2004
AR0PUK71187B9AC3C0,fd9f268a-89ef-4577-81f4-efebc9517a07,Coro montenero,2002
ARJ3TAF1187FB4AAB1,61b243f5-698f-4ba3-9538-20279da8edc2,Drum Cargo - Rhythms of Wind,2009
AR2HXXS1187B9AF3E2,f9776598-2689-41db-98d3-829f5510021c,BBC In Concert (19th January 1991),0
ARD7U0O1187FB5531A,8153997d-0a0a-4f4a-8aa1-278bb2d7d006,Les Increvable N2,2016
ARFQCJT1187FB3C099,5501b610-b6fe-4b59-909c-4fa6f38cbc02,Our Scottish Heritage,1992
AR198711187B9AD09F,a9100753-f539-43cf-bcc9-579566fb512e,Stay (Bonus Version),2018
ARSE5NP1187B9B98AB,0bc858a1-3573-4216-9423-c96dd8c72919,Mobstability,1998
AR8ACFK1187B9B4063,5849fa32-0283-4204-9d1b-507cfaf9d4a2,Champion Of The Blues,2000
ARJ84561187B993E3E,86017973-25c2-41a5-9a37-2843878199af,Take Two,2002
ARLZ2LD1187B9B17FD,1c4f6d71-ab3f-45ef-841f-d69022f6ef0d,You're My World,1988
ARVML4B1187FB52324,410b8630-2fd5-4368-8a5b-dbc5e82f6b1c,Leroy Hutson Selected Hits Vol. 1,2001
ARUGU0E1187B9B30F6,9efff43b-3b29-4082-824e-bc82f646f93d,Set The Night On Fire: The Doors Bright Midnight Archives Concerts [w/Bonus Album],2006
ARMOE2A1187B991F89,d0d02c7d-9e53-479a-8fc8-1db3c7f72c0f,Words,2010
AR6BYC41187B996DD0,8ddbd830-f22d-469b-9dbc-27e2d0c37c0f,Fiesta Tradicional Colombiana,0
ARIQD5J1187B98D8DC,770e74ef-b251-4072-818b-6e53c42a7c1c,Espera a la Primavera,2007
AROW3XO1187B989E72,49fc3118-6bee-4e93-a089-be3d66450eeb,Airport - The Motors Greatest Hits,1995
ARUEYGC1187FB3D94B,daf21090-1c0f-46e6-bd76-9cd4d6ef7128,The Chi-Lites Selected Hits,1973
AR3D0BI1187B98A11F,e1fb2501-3d1f-4e31-9411-761fe6e3ee4e,A Tiempo,2002
ARDWS2V1187B99AED0,6f5aa5a9-2a35-4ce2-bbf4-09d5542be50d,Tejano All Stars: Masterpieces Vol 1,1997
ARZPL0P1187FB4C734,a253787e-cf79-421a-9655-390aca88fb8b,Geography,1988
ARZENOX1187B98A645,8a81edd9-6f62-4ac7-afee-17dc0fec5fe7,Room For Squares,2001
ARPOQKS1187B988FE2,686e8e55-9bc3-479d-86bb-dccda3e8f51e,Twilight,1999
ARRU9GR1187FB43F56,81e02e29-e46a-49cb-bf13-d204cbe86daa,Blind Willie McTell -Statesboro Blues - The Early Years 1927-1935,0
ARVVZ6Q1187B98D05D,91e760fa-98f4-4122-a1e6-c980473fccce,Ministry of Sound Presents Chilled II 1991-2009,2009
ARJA5XT1187B9B89AA,38fe7fb3-2bde-4672-8016-2ba6f7d1808f,Atmospheric Dreams,1990
ARBCUNV1187B98A9FB,10a9ff92-9637-4498-afea-7044b2ab0dc0,When Disaster Strikes,1997
ARXEH1P1187FB378A3,a7d734d6-b586-4fdc-9f00-a9e58f38b78f,Live In 1978 At The Festival Suite_ Birmingham Co-op,2002
