artist_id,artist_mbid,artist_name,artist_latitude,artist_longitude,artist_location,artist_familiarity,artist_hotttnesss,song_id,song_title,song_hotttnesss,song_release_year,duration,end_of_fade_in,key,key_confidence,loudness,mode,mode_confidence,start_of_fade_out,tempo,time_signature,time_signature_confidence,track_id,album_name
AR52QY11187B99FC59,e96c88c1-44ab-4bab-8d2a-2cc68715f798,Anthony Cruz,18.03965,-77.51329,"Mandeville, Jamaica",0.5344436024147244,0.3335846278352391,SOQWNGK12AB01897E2,Make it up,0.0,2005,264.14975,0.084,0,0.0,-11.398,1,0.167,257.173,95.37,4,0.326,TRAUMPU12903CBD2E2,Tsahai Riddim (aka Receive)
ARX9YIP1187B98A656,5ecc3f72-20a6-47a0-8dc5-fb0b3dadeea0,RUN-DMC,nan,nan,,0.6869889546292448,0.6066301517291853,SOKTSYD12A8C13CB8F,Bob Your Head,0.4137398358601097,1990,227.5522,0.517,1,0.363,-12.654,0,0.221,223.469,64.101,5,0.751,TRAUMIX12903CE640C,Original Album Classics
AR76DOS1187FB5AE78,9fac4087-8201-4b74-a619-e77b1602aaf4,The Jeff Healey Band,nan,nan,,0.7168543517689351,0.41423624772199374,SOUFPAB12A8C1382E0,It Could All Get Blown Away,0.7306740675391308,1992,283.03628,0.382,2,0.975,-7.535,1,0.826,267.384,94.543,4,0.0,TRAUMNH128F92FB67F,Legacy:Volume One
ARYDFJA1241B9CBFF2,,Jacques Douai,nan,nan,,0.31385115159841964,0.14519082979005074,SOGBVJQ12AB01834A1,Le Roi A Fait Battre Tambour,nan,0,143.43791,0.444,2,0.511,-16.243,0,0.631,137.996,73.716,5,0.649,TRAUMRB128F93377DB,Heritage - Maintenant Que La Jeunesse... - BAM (1968-1971)
ARG1UAO1187FB55E50,5f3c4fe0-fc71-4455-99e6-abd0e8c4462e,Sammi Cheng,nan,nan,,0.4906114141824927,0.39157416411599666,SOHRNFL12A6D4F9978,Luo Cuo Che,nan,0,295.57506,0.0,9,0.735,-12.611,1,0.732,274.21,87.099,4,0.458,TRAUMRG128F1483D2F,Sammi Vs Sammi 04 Concert CD
ARHT0B11187B993CB3,8e9f4070-4633-4797-b2bf-0a48713cfec7,Eddy Raven,30.22032,-92.01705,"Lafayette, LA",0.464994319368088,0.3447211111720015,SOZEGIU12AB01895A8,Love Lifted Me,0.0,0,141.68771,0.121,7,1.0,-12.994,1,0.654,128.888,115.591,3,1.0,TRAUMMP12903C9D5C4,That Good Old Gospel Music_ Volume 2
AR4AEIP1187FB4030A,355e35eb-86d4-454d-ac9c-656a2271181d,Wamdue Project,33.74831,-84.39111,"Atlanta, GA",0.6174300275872829,0.4288415941528598,SOVAKME12AB01892EE,Washes Over Me,0.21204540548371908,0,422.24281,0.0,11,0.188,-10.412,0,0.336,383.344,123.984,4,1.0,TRAUMEN128F9355DCC,Private Beach Club - By Afterlife
AR2XBPG1187B98FCBE,3dc88d73-6125-48e6-9a6a-b3024d62ee51,Planxty,nan,nan,,0.5481890662213865,0.3825916380955341,SORVNPU12A8C134C36,Junior Crehan's Favourite - Corney Is Coming,0.4782769949300473,1973,156.18567,0.137,7,0.113,-14.873,1,0.462,151.203,202.789,4,0.0,TRAUMHL128F930CFCB,Planxty
ARK3PWH1187B9A441D,6c8d5d17-aab0-424a-90f1-d579012b33bd,Showbread,nan,nan,,0.6986195469729207,0.5467451762471173,SOXXZFP12A8AE47061,The Pig,nan,2008,197.79873,0.0,10,0.61,-5.586,1,0.548,193.202,110.235,4,1.0,TRAUJVM128F422C5A2,Nervosa
ARKAL321187B9AD4BE,5f5e87f9-9eca-44b9-97c6-34694b44a9a1,The Gathering,nan,nan,,0.7803098506846914,0.4856823691614736,SOUEILW12AF72A5701,Gaya's Dream,nan,0,363.31057,0.201,0,0.641,-11.098,1,0.701,356.821,87.797,4,0.435,TRAUJVS128F93324DA,Always
ARC8CQZ1187B98DECA,ff6e677f-91dd-4986-a174-8db0474b1799,Jack Johnson,nan,nan,"Galveston, TX",0.8320117691319663,0.6774824794324045,SOOQPIK12A6701F1C5,Fortunate Fool,0.8242065020160781,2000,228.70159,0.078,8,0.244,-10.736,0,0.418,211.609,128.684,4,1.0,TRAUJKJ128E078FA48,Brushfire Fairytales
ARODBRG1187FB3FD99,172e1f1a-504d-4488-b053-6344ba63e6d0,Nick Cave & The Bad Seeds,nan,nan,,0.694025280206236,0.47940767557514763,SOKHMJO12AB01832DA,Wings Off Flies (2009 Digital Remaster),nan,0,246.46485,6.711,4,0.505,-11.936,0,0.406,236.321,103.145,3,1.0,TRAUJOU128F9325DE7,From Her To Eternity (2009 Digital Remaster)
ARJIWJH1187FB3F6B9,b1768592-294e-4e15-a892-eb8837dec3e4,Elvin Bishop,34.14632,-118.24802,"Glendale, CA",0.5584758161805727,0.4078879696190767,SOOBTKZ12A58A7B0B0,I'll Be Glad,0.3347065490692206,2005,335.69914,0.0,0,0.816,-4.559,1,0.781,329.334,100.173,4,1.0,TRAUJMN128F421A8EC,Gettin' My Groove Back
ARK3PWH1187B9A441D,6c8d5d17-aab0-424a-90f1-d579012b33bd,Showbread,nan,nan,,0.6986195469729207,0.5467451762471173,SORYBLZ12AF72A4286,Nothing Matters Anymore,nan,2009,252.21179,0.0,9,1.0,-3.708,1,0.763,249.667,164.963,4,0.688,TRAUJPQ128F930D4C5,The Fear Of God
AR3FE581187FB3F90A,d2299099-e617-46dd-b013-ba0b4c72bc63,Fabolous,nan,nan,"Brooklyn, NY",0.5716816265745298,0.5400077502099329,SOIMRXV12A58A7F1B5,Trade It All PT2  (Early Fade Amended Version- Bonus Track) (featuring P. Diddy & Jagged Edge),0.5411058269016916,2003,246.33424,0.0,6,0.306,-5.268,1,0.349,238.748,96.708,4,0.949,TRAUJLJ128E0784E7C,Street Dreams
ARAMB6Q1187B99DE68,72f0b9db-f319-4817-a778-d1c3c9fc03d5,Fiona Sit,nan,nan,,0.4396285774270355,0.3608132345735625,SOFOXRS12AB017BD2E,Xin Bu Liao Qing,nan,0,232.48934,0.096,5,0.698,-6.327,1,0.729,225.083,99.977,4,0.876,TRAUJEV128F92E3176,It's My Day
AR91C8S1187B990901,70248960-cb53-4ea4-943a-edb18f7d336f,Bruce Springsteen,40.23447,-74.29504,"Freehold, NJ",0.8507899885550886,0.8380955324254648,SOYIXMY12AF72A0734,Working On The Highway,0.751580890905498,1984,191.99955,0.898,0,0.641,-11.516,1,0.826,189.068,183.709,4,0.0,TRAUJTZ12903CF7BB4,Born In The U.S.A.
AR9ST641187B99B4DE,1015b5e3-8e3d-4d78-806a-c530cf742e66,Cal Tjader,38.62774,-90.19951,"St. Louis, MO",0.6242003276351012,0.3690768705489907,SODWIDL12A6D4FA5F2,Anyone Who Had A Heart,nan,2003,200.12363,0.376,10,0.576,-18.896,1,0.5,185.481,118.596,1,0.0,TRAUJEB128F4240FD4,Sounds Out Burt Bacharach
ARJ2PMY1187FB5B563,16dad944-c492-43dd-88ed-e0b7ac520c40,Burning Spear,nan,nan,NY - Long Island,0.6742377995907541,0.4652702100858289,SOVTFUO12A6310D813,The Invasion (Aka Black Wa Da Da),0.6070366907455167,0,334.31465,0.467,9,0.605,-12.763,1,0.4,317.243,146.392,4,0.0,TRAUAMA128C71965E5,Chant Down Babylon: The Island Anthology
AR1W3MA1187B99E6D8,79ddcfab-f507-4f44-9d2f-1b296ad06f23,Danny Wright,31.1689,-100.07715,Texas,0.49089798839115084,0.3653021909738527,SOEFJXQ12A670200C8,Carol of the Bells (Album Version),0.4051157216913865,0,240.53506,0.0,7,0.829,-17.041,0,0.999,217.722,95.995,3,1.0,TRAUALM128E0784FF4,An Intimate Christmas
ARAXU5Z1187B98FECD,e21857d5-3256-4547-afb3-4b6ded592596,Gorillaz,nan,nan,,0.7750860583827819,0.6051911529647471,SOKHYFG12A63110822,Rock The House (Explicit),0.8133052092707631,2001,249.93914,0.0,1,0.857,-7.033,1,0.583,245.005,171.918,4,1.0,TRAUALF128E0781331,Gorillaz
ARUFCZ41187B9A868E,f74c14eb-148f-4f2e-a505-279a2cd88ab8,Passion,27.9758,-81.54106,Florida,0.7011767171287973,0.39246914112368464,SOWZVLJ12A58A7C2C8,Jesus_ Lover Of My Soul (Bonus Stereo Trax),0.0,0,253.41342,0.345,10,0.763,-16.307,1,0.744,243.241,114.303,4,1.0,TRAUAQR128F9349BE2,Passion: Oneday Live With Road To Oneday Bonus Trax (Stereo Accompaniment Tracks)
ARWXHRS1241B9C7A1E,,Thomas Battenstein,nan,nan,,0.42562724003042296,0.0,SOKWBGF12AC3DFB033,East West,nan,0,342.20363,0.264,5,0.0,-13.774,1,0.075,334.373,134.132,5,0.903,TRAUAZA12903CE27E8,Light & Colours
AROJVWY1187B9A826C,f1093867-0fc0-4ca4-b7fa-ff59ad275343,Mademoiselle Sane,nan,nan,,0.3918367349380478,0.352620791135667,SOHBHOE12AB01840A9,La petite boite en fer,0.0,0,217.62567,2.258,11,0.531,-11.875,0,0.54,203.709,63.154,4,0.0,TRAUAIF128F931AABA,La petite boite en fer
ARK8EHO1187B9B71D1,f22e793d-9a7e-4ec9-9d86-7a8528688abd,The Shamen,57.15382,-2.10679,"Aberdeen, Scotland",0.6058804710656306,0.3936608679237098,SOIVZJD12AB0182EDD,Heal (The Separation) [PM Dawn Alt. Lead Mix],0.0,1996,280.31955,0.433,10,0.46,-9.198,0,0.438,267.86,109.96,4,0.5,TRAUAHG128F931C55F,Heal (The Separation)
ARE0X5X1187B993A86,0ce8de4d-8aa0-4093-b84f-66a18096f18e,Midwest Product,42.32807,-83.7336,"Ann Arbor, MI",0.5281074677262658,0.34833290898056585,SOMVAUS12AB017D665,Motivator,0.5033812362063191,2003,301.73995,0.0,10,0.456,-8.874,1,0.481,301.74,141.002,4,0.192,TRAUARF128F9337BD4,World Series Of Love
ARWR6RK1187FB3AB52,a6bfadac-d028-4bda-a5b2-e1468f556569,From Autumn To Ashes,nan,nan,"Long Island, NY",0.7142685325196276,0.5054531534296305,SOHKXAC12A58A7F6E5,IV,0.5122536543033052,2002,147.64363,0.15,4,0.516,-12.063,0,0.569,134.565,97.169,3,0.685,TRAUAZA128F424847C,Too Bad You're Beautiful
ARX2R5A1187FB5B85B,3efd41cb-ac64-45a4-9483-9fe9039f2de3,Ann Nesby,33.74831,-84.39111,"Joliet, IL &amp; Atlanta, GA",0.447913957610236,0.4225755234173201,SOUEARP12A58A7D643,Tables Turn,0.26586104921065007,0,243.01669,0.0,11,0.863,-8.578,0,0.685,235.665,88.008,4,0.292,TRAUACD12903CEF021,This Is Love
AR1SYBE1187B992798,d31f627c-09fd-4e42-b51b-2d780b1cbdb0,Kira,51.27156,7.19655,"Wuppertal, Germany",0.5806002040207546,0.43604479225118165,SOBLYYF12AB018924E,Song For Stephin Merritt,0.2884816426560289,0,193.17506,0.421,4,0.526,-10.134,0,0.527,181.911,69.167,4,0.138,TRAUWGI12903CCB99A,The Rail Train_ The Meadow_ The Freeway & The Shadows
ARJ438T1187B9AD503,3d6bbeb7-f90e-4d10-b440-e153c0d10b53,Elvenking,nan,nan,,0.6464016524944037,0.4233000133085071,SOLFTTR12A6D4FDC9F,Trows Kind,0.5810119424656008,2006,357.45914,0.328,8,0.616,-5.492,1,0.593,355.051,200.036,4,0.167,TRAUWQL128F424696E,The Winter Wake
ARJJPQP1241B9CA062,,Gabriel Grossi,nan,nan,,0.43351711555557576,0.0,SOSWNTH12AB017EA7C,Cai dentro,0.0,0,253.43955,0.0,7,0.365,-7.773,1,0.52,246.712,143.86,4,0.266,TRAUWIE128F92F6064,Diz que fui por aí
AR048JZ1187B9AEB85,3630fff3-52fc-4e97-ab01-d68fd88e4135,Yellowcard,30.33138,-81.6558,"Jacksonville, FL",0.8729337830728209,0.6274672585628777,SOJDXQI12AF72A580E,One Year_ Six Months,0.7324280728168031,2003,208.79628,0.346,7,0.456,-7.063,1,0.515,202.524,89.896,4,0.352,TRAUWFN128F1462E09,Ocean Avenue
ARNUIBF1187FB4A28F,352749d3-93dd-422c-90b0-90f46dd725eb,Ray Lynch,nan,nan,,0.5488824242811413,0.3862437005208074,SOOBFRV12AB0184739,Kathleen's Song / Ray Lynch,0.6603811327118728,1984,250.22649,0.265,2,0.52,-21.45,1,0.664,232.112,139.944,1,0.0,TRAUWKJ128F932E096,Deep Breakfast
ARLGIX31187B9AE9A0,f82bcf78-5b69-4622-a5ef-73800768d9ac,Jay-Z,nan,nan,"Brooklyn, NY",0.8600332481398372,0.78141234199446,SOVCBOE12AB0183962,Change Clothes,nan,2003,259.05587,0.165,5,0.037,-4.73,1,0.308,246.399,104.123,4,1.0,TRAUWRW128F9358C69,R&B Love Collection Summer 2009
ARFAGIR1187B997EA1,ef61eb63-101d-4cad-8341-899d79c779b0,Jeanie Lambe & The Danny Moss Quartet,nan,nan,,0.038638109908430855,0.0,SOFLQOA12AB0182976,My Funny Valentine,nan,1996,204.61669,0.383,10,0.559,-15.096,1,0.625,198.676,67.6,4,0.75,TRAUWIL128F9334C00,Three Great Concerts - Live In Hamburg 1993-1995
ARIQD5J1187B98D8DC,770e74ef-b251-4072-818b-6e53c42a7c1c,Fabián,31.1689,-100.07715,Texas,0.5129615158228926,0.3645978804511496,SOEBTAK12AB018BEA5,Mis calles de arena,nan,0,241.68444,0.0,5,0.795,-7.066,1,0.832,233.976,169.981,4,0.265,TRAUWJA12903CDAEA1,Espera a la Primavera
AROCBZZ11E2835D652,,Small Faces,nan,nan,,0.58223834366451,0.44905257515374747,SOWIAKP12AC3DFA050,Spoken Word / Ogdens' Nut Gone Flake / Spoken Word,0.0,1968,248.24118,0.0,9,0.036,-12.211,1,0.369,248.241,77.09,1,0.619,TRAUWCV12903CEE9C5,Ogdens' Nut Gone Flake
AR7U5BZ1187B997FFC,75fd76eb-09d8-4567-b24a-5fe43334ed15,Keep Of Kalessin,nan,nan,,0.6379952871042047,0.4714418762745189,SOBZUCH12A8C13DCA0,Ascendant,0.5701150855791898,2008,270.21016,0.102,8,0.043,-5.958,0,0.256,264.98,229.864,1,0.0,TRAUWWP12903CC79CB,Kolossus
ARODFDS1187FB57348,6bf591c4-b050-478e-9d9f-167394d66c90,Sergio Mendes,nan,nan,"Niteroi, Brazil",0.6490950504702371,0.41760148824822674,SOILNCG12A6D4F9D6C,Tem Do de Mim (Live At El Matador_ San Francisco),0.0,0,161.59302,0.0,7,0.51,-19.397,1,0.498,156.154,179.609,4,0.0,TRAUGLQ128F1495E6D,In Person At El Matador
ARIMW0M1187B99EC59,245a7f6a-1100-4a2d-a67f-df8d9e7b7b9d,TEN MADISON,nan,nan,,0.44801383636217085,0.34829519678616305,SOFPFTF12A8C14172C,Elementro,0.0,2003,405.41995,6.153,11,0.545,-7.495,1,0.508,356.084,92.699,5,0.78,TRAUGHD128F42A8B9B,From Lust To Dust
AR1PQYO1187B98BEC9,db315e6a-06c4-43a2-a6bb-8d0e800838ac,Hélio Ziskind,nan,nan,,0.3512692911825123,0.0,SOFUNWZ12AB01831A9,A história do incêndio do jequitibá de Carangola (Part 1),nan,0,143.67302,0.583,6,0.447,-15.316,0,0.526,137.677,128.636,4,0.103,TRAUGWY12903C9D7BE,O Gigante Da Floresta
